datetime,open,high,low,close,average,sma10,sma20,sma50,ema10,ema20,ema50
2003-09-23 00:00:00,1.1596,1.1771,1.1533,1.1711,1.1652,1.12448,1.14095,1.09097,1.12819,1.1421,1.09243
2003-09-30 00:00:00,1.1719,1.1863,1.1652,1.1709,1.17575,1.12868,1.14101,1.09496,1.13296,1.14266,1.09654
2003-10-07 00:00:00,1.1714,1.177,1.1549,1.1631,1.16595,1.13181,1.14034,1.09855,1.13492,1.14156,1.09987
2003-10-14 00:00:00,1.1625,1.186,1.1616,1.1783,1.1738,1.13669,1.14023,1.10195,1.14006,1.14183,1.10336
2003-10-20 22:00:00,1.1776,1.1786,1.1563,1.1584,1.16745,1.14349,1.13962,1.10512,1.14567,1.14095,1.10633
2003-10-27 06:00:00,1.1581,1.1621,1.1377,1.1535,1.1499,1.14943,1.13868,1.10801,1.14947,1.13921,1.10883
2003-11-03 06:00:00,1.1507,1.1804,1.1446,1.178,1.1625,1.15617,1.13924,1.11141,1.15674,1.14035,1.11241
2003-11-10 06:00:00,1.1787,1.198,1.1726,1.1913,1.1853,1.1628,1.1412,1.11513,1.16484,1.14329,1.11651
2003-11-17 06:00:00,1.1909,1.2017,1.1753,1.1994,1.1885,1.16843,1.14403,1.11858,1.17025,1.14615,1.11995
2003-11-24 06:00:00,1.1978,1.218,1.1938,1.2164,1.2059,1.17402,1.14814,1.12217,1.17692,1.15089,1.12381
2003-12-01 06:00:00,1.2172,1.2308,1.2111,1.2288,1.22095,1.1796,1.15204,1.12593,1.18336,1.15532,1.12779
2003-12-08 06:00:00,1.2142,1.2441,1.213,1.2375,1.22855,1.18488,1.15678,1.12966,1.18885,1.1602,1.1316
2003-12-15 06:00:00,1.2403,1.2473,1.2349,1.243,1.2411,1.19239,1.1621,1.13354,1.19682,1.16586,1.13564
2003-12-22 06:00:00,1.2434,1.2649,1.2425,1.2587,1.2537,1.20039,1.16853,1.13743,1.20523,1.17259,1.13971
2003-12-29 06:00:00,1.2584,1.2871,1.2561,1.2831,1.2716,1.2108,1.17714,1.14137,1.21632,1.18164,1.14393
2004-01-05 06:00:00,1.2847,1.2901,1.2351,1.2387,1.2626,1.22207,1.18575,1.145,1.22576,1.18941,1.1473
2004-01-12 06:00:00,1.2361,1.2778,1.2332,1.2588,1.2555,1.23137,1.19377,1.14847,1.23356,1.19671,1.15057
2004-01-19 06:00:00,1.2574,1.2664,1.2349,1.2469,1.25065,1.23791,1.20035,1.15196,1.23906,1.20274,1.1539
2004-01-26 06:00:00,1.2472,1.2725,1.239,1.2704,1.25575,1.24463,1.20653,1.15556,1.24564,1.20887,1.15752
2004-02-02 06:00:00,1.2612,1.2895,1.2604,1.274,1.27495,1.25154,1.21278,1.15951,1.25366,1.21574,1.16178
2004-02-09 06:00:00,1.2752,1.2929,1.2493,1.2532,1.2711,1.25655,1.21808,1.1631,1.25787,1.2206,1.16521
2004-02-16 06:00:00,1.251,1.2715,1.2373,1.249,1.2544,1.25914,1.22201,1.16641,1.2587,1.22355,1.16813
2004-02-23 06:00:00,1.2489,1.2544,1.2059,1.2376,1.23015,1.25804,1.22522,1.16967,1.25551,1.22545,1.17085
2004-03-01 06:00:00,1.2387,1.2463,1.2162,1.2217,1.23125,1.25579,1.22809,1.1728,1.25356,1.22824,1.17394
2004-03-08 06:00:00,1.2189,1.2436,1.2178,1.2272,1.2307,1.2517,1.23125,1.17589,1.2498,1.23122,1.17697
2004-03-15 06:00:00,1.2287,1.2403,1.205,1.2159,1.22265,1.24771,1.23489,1.17887,1.24543,1.2343,1.17973
2004-03-22 08:00:00,1.2158,1.2391,1.1982,1.2014,1.21865,1.24403,1.2377,1.18155,1.24171,1.23679,1.18227
2004-03-30 00:00:00,1.2006,1.2223,1.1982,1.2081,1.21025,1.23999,1.23895,1.18382,1.23728,1.23758,1.18434
2004-04-06 00:00:00,1.2078,1.2083,1.1866,1.201,1.19745,1.23415,1.23939,1.18553,1.23082,1.2374,1.18577
2004-04-13 00:00:00,1.2004,1.2012,1.1762,1.1858,1.1887,1.22553,1.23853,1.1864,1.22218,1.23616,1.18645
2004-04-20 00:00:00,1.1856,1.2014,1.1803,1.1932,1.19085,1.2175,1.23703,1.18711,1.21508,1.23483,1.18718
2004-04-27 00:00:00,1.1939,1.218,1.181,1.1837,1.1995,1.21202,1.23558,1.18761,1.21088,1.23385,1.18785
2004-05-04 00:00:00,1.1829,1.2062,1.1772,1.2022,1.1917,1.20817,1.23311,1.18786,1.20667,1.23113,1.18793
2004-05-11 00:00:00,1.2014,1.2071,1.1891,1.2003,1.1981,1.20485,1.23033,1.1883,1.20424,1.22879,1.18849
2004-05-18 00:00:00,1.201,1.2298,1.1987,1.2186,1.21425,1.20321,1.22746,1.18899,1.20421,1.22683,1.18949
2004-05-25 00:00:00,1.2186,1.2341,1.214,1.2319,1.22405,1.20335,1.22553,1.1901,1.20523,1.22546,1.19076
2004-06-01 00:00:00,1.2323,1.2353,1.1953,1.2054,1.2153,1.20301,1.22352,1.19138,1.20413,1.22313,1.19185
2004-06-08 00:00:00,1.2056,1.2171,1.1974,1.2114,1.20725,1.20271,1.22135,1.1926,1.20313,1.22068,1.19289
2004-06-15 00:00:00,1.2114,1.2231,1.204,1.2187,1.21355,1.20433,1.21924,1.19423,1.20516,1.21897,1.19461
2004-06-22 00:00:00,1.2183,1.2339,1.2064,1.2291,1.22015,1.20747,1.2165,1.19616,1.20862,1.21668,1.19663
2004-06-29 00:00:00,1.2285,1.2439,1.2264,1.2413,1.23515,1.2119,1.2147,1.19801,1.21402,1.21568,1.19874
2004-07-06 00:00:00,1.2411,1.2464,1.2299,1.2443,1.23815,1.21576,1.21389,1.20009,1.2178,1.21504,1.20084
2004-07-13 00:00:00,1.2441,1.2457,1.2086,1.2147,1.22715,1.21931,1.21374,1.20194,1.22002,1.21437,1.20244
2004-07-20 00:00:00,1.2146,1.2191,1.1991,1.2023,1.2091,1.22041,1.21263,1.20363,1.21938,1.21247,1.20373
2004-07-27 00:00:00,1.2024,1.2294,1.197,1.2271,1.2132,1.2203,1.21176,1.2059,1.21966,1.21182,1.20604
2004-08-03 00:00:00,1.2271,1.2382,1.2173,1.2361,1.22775,1.22067,1.21201,1.20865,1.22132,1.21276,1.20902
2004-08-10 00:00:00,1.2359,1.2392,1.2132,1.2134,1.2262,1.22176,1.21239,1.21127,1.22217,1.21304,1.21156
2004-08-17 00:00:00,1.2138,1.2172,1.1987,1.2058,1.20795,1.22184,1.21228,1.21305,1.22057,1.21207,1.21295
2004-08-24 00:00:00,1.2055,1.2224,1.2041,1.206,1.21325,1.22181,1.21306,1.21467,1.22103,1.21308,1.21464
2004-08-31 00:00:00,1.2065,1.2313,1.2025,1.2258,1.2169,1.22148,1.21447,1.21601,1.22106,1.21459,1.21603
2004-09-07 00:00:00,1.2261,1.2298,1.212,1.2178,1.2209,1.22006,1.21598,1.21712,1.22013,1.21621,1.21719
2004-09-14 00:00:00,1.2169,1.2368,1.2166,1.2303,1.2267,1.21891,1.21734,1.21814,1.21961,1.21778,1.21831
2004-09-21 00:00:00,1.2299,1.2445,1.226,1.2293,1.23525,1.21972,1.21951,1.21953,1.22113,1.22027,1.21984
2004-09-28 00:00:00,1.2288,1.2437,1.2246,1.2383,1.23415,1.22222,1.22132,1.22073,1.22331,1.22193,1.221
2004-10-05 00:00:00,1.2386,1.2538,1.2227,1.2496,1.23825,1.22473,1.22252,1.22215,1.22596,1.22327,1.22246
2004-10-12 00:00:00,1.2494,1.2833,1.2451,1.2807,1.2642,1.22838,1.22453,1.22444,1.23163,1.22642,1.22521
2004-10-19 00:00:00,1.2811,1.2843,1.263,1.2785,1.27365,1.23312,1.22744,1.22666,1.23681,1.22964,1.22758
2004-10-25 22:00:00,1.2805,1.2971,1.2656,1.2967,1.28135,1.24046,1.23115,1.22858,1.24418,1.23354,1.22961
2004-11-01 06:00:00,1.2971,1.3007,1.2847,1.2976,1.2927,1.2484,1.23511,1.23066,1.25243,1.23784,1.23188
2004-11-08 06:00:00,1.2976,1.3076,1.2915,1.302,1.29955,1.25667,1.23908,1.23254,1.26057,1.24195,1.23385
2004-11-15 06:00:00,1.3035,1.3333,1.2974,1.3293,1.31535,1.26612,1.24308,1.23443,1.27059,1.24652,1.23601
2004-11-22 06:00:00,1.3268,1.3463,1.3228,1.3456,1.33455,1.2769,1.24791,1.23655,1.28214,1.25203,1.23846
2004-11-29 06:00:00,1.3442,1.3471,1.3137,1.3225,1.3304,1.28641,1.25307,1.23833,1.29042,1.25675,1.24013
2004-12-06 06:00:00,1.3197,1.3447,1.3188,1.3309,1.33175,1.29617,1.2592,1.23989,1.29941,1.26265,1.2417
2004-12-13 06:00:00,1.3334,1.3552,1.3298,1.3531,1.3425,1.3066,1.26567,1.24131,1.30986,1.26932,1.24329
2004-12-20 06:00:00,1.353,1.3671,1.3511,1.3558,1.3591,1.31609,1.27223,1.24324,1.32,1.27637,1.24552
2004-12-27 06:00:00,1.3547,1.3582,1.3024,1.3054,1.3303,1.32176,1.27744,1.24474,1.32254,1.27996,1.24641
2005-01-03 06:00:00,1.3061,1.3294,1.3049,1.3106,1.31715,1.32533,1.2829,1.24607,1.32459,1.28452,1.24746
2005-01-10 06:00:00,1.3102,1.3129,1.2921,1.305,1.3025,1.32631,1.28736,1.247,1.32415,1.28808,1.24809
2005-01-17 06:00:00,1.3039,1.3126,1.2943,1.3044,1.30345,1.32671,1.29169,1.24757,1.32459,1.29225,1.24867
2005-01-24 06:00:00,1.3034,1.3096,1.2863,1.2872,1.29795,1.32496,1.29554,1.24811,1.32251,1.29565,1.24908
2005-01-31 06:00:00,1.2856,1.2907,1.273,1.2866,1.28185,1.3197,1.2983,1.24866,1.31625,1.29751,1.24931
2005-02-07 06:00:00,1.2879,1.3091,1.2874,1.3072,1.29825,1.31648,1.30145,1.25002,1.31483,1.3013,1.25096
2005-02-14 06:00:00,1.3048,1.3275,1.3034,1.3243,1.31545,1.31485,1.30551,1.2517,1.3149,1.30599,1.25295
2005-02-21 06:00:00,1.3244,1.3281,1.3087,1.3241,1.3184,1.31244,1.30952,1.25346,1.31298,1.30994,1.25473
2005-02-28 06:00:00,1.3241,1.3482,1.318,1.3454,1.3331,1.30984,1.31296,1.25567,1.31196,1.31393,1.25719
2005-03-07 06:00:00,1.3459,1.3479,1.3264,1.3318,1.33715,1.31052,1.31614,1.25804,1.31295,1.31714,1.25959
2005-03-14 06:00:00,1.3312,1.3317,1.2854,1.2889,1.30855,1.30967,1.3175,1.26,1.30956,1.31707,1.26095
2005-03-21 08:00:00,1.2889,1.306,1.2816,1.2849,1.2938,1.30879,1.31756,1.26193,1.30743,1.31643,1.26256
2005-03-29 00:00:00,1.2853,1.3005,1.2799,1.2976,1.2902,1.30747,1.31709,1.26396,1.3059,1.3158,1.26447
2005-04-05 00:00:00,1.2973,1.3047,1.2767,1.3016,1.2907,1.30675,1.31586,1.26596,1.30529,1.31466,1.26644
2005-04-12 00:00:00,1.302,1.3127,1.2954,1.3001,1.30405,1.30897,1.31433,1.26805,1.30852,1.31384,1.26875
2005-04-19 00:00:00,1.299,1.3017,1.2837,1.2864,1.2927,1.30841,1.31245,1.27007,1.30699,1.3115,1.27052
2005-04-26 00:00:00,1.2853,1.2992,1.2789,1.2868,1.28905,1.30577,1.31031,1.27189,1.30425,1.3093,1.27223
